date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:35	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2017:23:35%20GMT	https://theagency-1.webflow.io/robots.txt		(from )
20:23:35	42367/42367	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Apr%202023%2017:23:34%20GMT	https://theagency-1.webflow.io/	/Users/sammitala/Desktop/Elevate%20/ELEVATES/theagency-1.webflow.io/index.html	(from )
20:23:35	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2017:23:35%20GMT	https://theagency-1.webflow.io/expertise	/Users/sammitala/Desktop/Elevate%20/ELEVATES/theagency-1.webflow.io/expertise	(from https://theagency-1.webflow.io/)
20:23:36	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2017:23:36%20GMT	https://theagency-1.webflow.io/about-us	/Users/sammitala/Desktop/Elevate%20/ELEVATES/theagency-1.webflow.io/about-us	(from https://theagency-1.webflow.io/)
20:23:37	33327/33327	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Apr%202023%2017:23:37%20GMT	https://theagency-1.webflow.io/contact	/Users/sammitala/Desktop/Elevate%20/ELEVATES/theagency-1.webflow.io/contact.html	(from https://theagency-1.webflow.io/)
20:23:38	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2017:23:38%20GMT	https://theagency-1.webflow.io/privacy-policy	/Users/sammitala/Desktop/Elevate%20/ELEVATES/theagency-1.webflow.io/privacy-policy	(from https://theagency-1.webflow.io/)
20:23:39	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2017:23:39%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d42eab063f0504b711/602bd2ed91f8273f79692bec_spark_dribbbles-poster-00001.jpg%22	/Users/sammitala/Desktop/Elevate%20/ELEVATES/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d42eab063f0504b711/602bd2ed91f8273f79692bec_spark_dribbbles-poster-00001.jpg_	(from https://theagency-1.webflow.io/)
20:23:40	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2017:23:40%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b89734781975ecf2dfa15_d.jpg%22	/Users/sammitala/Desktop/Elevate%20/ELEVATES/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b89734781975ecf2dfa15_d.jpg_	(from https://theagency-1.webflow.io/)
20:23:41	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2017:23:41%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b8aaae2585313bc00b01b_web.jpg%22	/Users/sammitala/Desktop/Elevate%20/ELEVATES/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b8aaae2585313bc00b01b_web.jpg_	(from https://theagency-1.webflow.io/)
20:23:42	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2017:23:42%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b90449e68c45f19621300_60114f514d7e2c5c8c6dasdas391ec_6011467e8b388c8869c07744_luma-screen1.jpg%22	/Users/sammitala/Desktop/Elevate%20/ELEVATES/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b90449e68c45f19621300_60114f514d7e2c5c8c6dasdas391ec_6011467e8b388c8869c07744_luma-screen1.jpg_	(from https://theagency-1.webflow.io/)
